,labels,headline
620,0,side effects sound awesome
3523,1,nation ready for its din din
8540,1,pope francis wearing sweater vestments he got for christmas
8530,1,nbc unveils on screen graphic informing audience they are watching football
5747,0,"child baffled by stationary, non-violent images"
9493,2,report: overseas sweatshops hurting u.s. sweatshops
5889,0,"half of nation outraged at new, not-yet-released michael moore film"
5111,0,specifics of hostile takeover fiercely boring
13138,2,loyal senator still lying patiently in spot where beloved bill died
12133,2,america gets set to enjoy month or so of libya seeming like symbol of freedom
9347,1,guy eats own weight in combos over three-month period
7924,2,"russians to build, tear down statue"
12420,2,kim jong-un's absence leaves north korean government officials no one to agree with
7681,1,monopoly player insists on being wheelbarrow
6262,2,psychiatrists deeply concerned for 5% of americans who approve of congress
285,0,man dies all by himself
5238,1,lucky old woman getting wheeled around airport
12816,0,world's jews celebrate christmas with ceremonial re-murdering of christ
87,2,urban polling centers recommend voters start lining up now for 2016 election
5029,0,"wine glasses, burnt-down candles, strewn rose petals suggest dolphins courting pete carroll"
6326,2,report: things finally as bad as trump claims
9891,1,"town still can't think of name for largest, most used street"
1617,0,senators lured back to emergency session by promise of free pizza
12797,0,nair introduces new incendiary oil for controlled burn of bikini zone
3232,1,obama's fifth gulf coast visit really helps a lot
1005,2,santorum nostalgic for time when beliefs were outlandish enough to make headlines
5299,0,advice to enjoy being young came out way sadder than intended
989,2,"emporia, kansas named best small town in america to escape from"
5186,1,area man reduced to this
4933,0,dozens of black-rubber-clad masochists line up outside capitol for paul ryan's job
1953,0,"entomologists retract new spider species discovery after determining it actually just clump of dust, hair"
4222,2,'so what did i miss?' asks michael flynn tilting large flower on lapel towards trump
876,1,oil prices soar like noble eagle
8166,2,depressed mueller wonders what it is about him that makes everyone lie to him
4740,1,roommate never seems to leave apartment
6453,0,study exposes risks of conducting research while driving
2091,1,disgusting couple always interacting in public
8301,1,world war ii hero cursed out for driving speed limit
5151,1,data-entry clerk reapplies carmex at 17-minute intervals
4095,1,roommate protective services rescues helpless 22-year-old from squalid apartment
7551,2,congress launches national congress-awareness week
6720,0,"attorney, client privileged"
5959,2,pence relaxes onstage by imagining entire debate audience burning in hell
422,1,no one in family sure who trip to arboretum is geared toward
4200,0,field museum officials announce long-awaited pregnancy of prized t-rex
3305,1,sex toy discreetly shipped in plain dildo-shaped box
11534,2,carl bernstein weeps uncontrollably after learning bob woodward wrote a president book without him
10778,2,"'you are donald trump, 45th president of the united states,' trump reads from faded tattoo on wrist"
7619,2,"luther vandross remembered, if only for one night"
2391,0,obama peddling stimulus package door-to-door
7904,2,scott bakula jumps into mccain's body just before election
13320,1,determined ant requires second flicking
12122,0,yeti releases abdominable crunch workout video
9704,2,bush determined to find warehouse where ark of covenant is stored
8987,1,backpacker planning to shatter europeans' preconceptions of americans
4920,1,"zoning committee meets, zones a bunch of shit"
1330,0,skywriter trailed by skyeditor
7561,1,steel drum knows it has so much more to offer than tropical vibes
1,1,inclement weather prevents liar from getting to work
6649,2,china unable to recruit hackers fast enough to keep up with vulnerabilities in u.s. security systems
3845,1,real-life family feud offers no fabulous cash prizes
1049,2,report: much of u.s. still underpaved
878,0,clinton becomes first president to clear 18 feet in pole vault
79,1,horrified geologists uncover millions of rocks in sprawling mass grave
3122,2,florida police warn public against taking law into own hands unless it's that law specifically designed for you to do that
12783,1,toilet-paper edge given classy appearance with triangular fold
10197,2,fbi panicking after learning encrypted national security communications may have been intercepted by trump administration
5302,1,"area man could have sworn randy newman sang welcome back, kotter theme"
4063,1,insane man gets a little perspective by reminding himself that he is god
11236,1,opera ends on unexpected high note
3149,2,apartment broker recommends brooklyn residents spend no more than 150% of income on rent
4389,0,report: countless invasive species detained in epa black sites
6434,2,report: bots now make up 22% of twitter executives
1446,0,woman with shitty job her own boss
6938,2,jeff sessions argues family separations only happening because current law doesn't allow him to strangle immigrants with bare hands
4824,2,'mad men' premiere features group of actors who are scared to death of never making transition to film
11262,0,johnson & johnson introduces self-lotioning baby
6826,1,picking thing up from apartment floor rescheduled for thursday
2230,0,pope benedict asks if it's too late to change name
11670,1,toyota recalls 1993 camry due to fact that owners really should have bought something new by now
5466,2,cbs picks up nbc nightly news
9562,0,dermatologist recommends not caring so much what other people think
10732,1,man who's only halfway through life can already guess how it's going to end
4005,0,physicist brings in particle from home he's been meaning to accelerate
2414,2,snuggle marketers kill off 18-34 demographic rather than let it fall into hands of competitor
11280,1,first-grader given sticker for behavior during lockdown drill
10469,1,apple fans demand other products they can feel directly against skin at all times
1251,2,border wall prototype clearly designed by yayoi kusama
132,2,baby can already tell crib he's in going to be recalled
12852,0,blotting of ken olin from human memory delayed several years
13509,2,shocking biblical study reveals methushael did not beget lamech
1507,0,unsold google glass units to be donated to assholes in africa
7877,1,parents officially designate upstairs television for anyone who doesn't want to watch thanksgiving football
10933,1,weekend encounter with coworker never acknowledged
1698,2,paranoid oscar pistorius still thinks burglar after him
4174,0,botanist holding up entire salad bar
3409,1,man's neuroses really putting genuine compliment through the wringer
11392,0,q-tips introduces new multi-speed electric ear swab
884,2,keystone veto buys environment at least 3 or 4 more hours
3256,2,republican coma candidate dominates gop debate
969,0,man always gets little rush out of telling people john lennon beat wife
13224,2,eagle_warrior_1776 horrified to discover its entire life a sham created by russians to tilt u.s. election
7162,2,mike pompeo can't believe senate just expects he'll answer questions without being tortured first
2659,2,gop claims kavanaugh shouldn't lose appointment for youthful indiscretion of repeatedly lying under oath
7388,0,doll overstays dollhouse welcome
6170,2,"hopes, dreams crushed by panel of d-list celebrities"
80,0,new iowa poll finds majority of democrats would vote for candidate named 'bobby cheeseburger'
392,1,motivational tape gets man excited for 20 minutes
7712,1,'yogi bear' movie introduces boring cartoon character to new generation
7889,1,"census bureau: 9,000 to 15,000 people work at census bureau"
1984,2,clinton tests positive for presidency-enhancing drugs
4935,2,marc summers realizes police will immediately look for body in giant pile of mashed potatoes
10645,2,catholic church releases new molestation-proof altar boy uniform
966,0,"hanes, fruit of the loom locked in bitter struggle no one else aware of"
9135,2,fda approves of what new drug is going for
4742,2,"bloated, rotund bernie sanders reveals he has finished drinking all of flint's water supply"
8713,1,woman feels guilty after switching brands
13377,0,pediatricians announce 2011 newborns are ugliest babies in 30 years
9735,2,epa warns human beings no longer biodegradable
2956,2,americans hopeful this will be last mass shooting before they stop on their own for no reason
4814,0,'what if no one travels anywhere ever again?' wonders panicked transportation secretary
6627,0,fbi director wishes he had some alien thing to cover up
10282,2,souter hopes roberts is into birds
13538,2,budget cuts force british government to shut down mysterious seaside village
1668,1,laptop gets to age when it can be lightly tossed sometimes
7672,0,coworker most valuable to office when he fails to show up
6314,2,missing white girl drives missing black girl from headlines
8366,0,white house receives letter addressed to gerald ford or current president
302,0,vin diesel puts on 35 pounds of bone for upcoming role
10174,1,absolutely disgusting shower curtain liner has another 3 years left in it
8850,2,bush not heard from for over a month
7935,1,liberal arts graduate realizes he's already forgotten 90% of human condition
5037,1,family moves elderly aunt into subconscious
9009,0,pizza hut's new pizza lover's pizza topped with smaller pizzas
2173,1,woman rises early to sow seeds of day's first gchats
1831,1,report: majority of americans proficient at owing large sums of money
7767,0,holocaust survivors recall exact day holocaust started right out of the blue
6861,0,financial experts recommend young grifters start laying groundwork for long con by 25
