Unnamed: 0,labels,headline,__index_level_0__
3791,0,historical archives: immoral woodcut discovered in hay loft,2651
9993,1,"nation's tourists announce plans to form circle, clap hands around guys doing flips and stuff",6087
4319,2,catherine zeta-jones happy to see people on internet would still hit that,9785
6478,2,chick corea falls to communists,10633
5153,2,facebook clarifies site not intended to be users' primary information source,10092
4425,0,description of hot-dog ingredients fails to ruin picnic,3002
2285,1,taco bell to offer discreet purchasing charged under 'tbfoodsllc',1821
1041,1,group that makes dodge truck commercials called 'creative team',8521
1337,0,barnes & noble creates stripper/prostitute memoir section,1330
7764,1,man eating cashew butter can't believe he wasted so many years fucking around with peanut butter,11094
662,0,customer service operator safely in remote location,957
2774,2,"hillary clinton: 'when i was a child, most special interest groups wouldn't even consider donating large sums of money to a woman'",2110
13458,0,underwear worn out of respect for the dead,8025
1970,1,transplanted new yorker disappointed with local bagel scene,1660
12633,0,golden years spent in brass urn,12969
560,2,millions of retirees absolutely sopping wet after seeing alex trebek's new beard,8337
10460,1,diet candy's aftertaste experienced 12 years later,12134
99,1,70-year-old woman decides it time to start dressing entirely in purple,655
4478,0,aztec extremists cut out visiting pope's heart,9841
11085,0,ama: plastic surgery 'only a few years away' from making someone look better,6660
7302,2,religious conservatives argue adam and eve would never have been banished from eden if they'd had guns,10923
12087,2,kim jong-un thrown into labor camp for attempting to cross border into south korea,7254
2967,2,biden unleashes torrent of vomit on debate stage,2199
4355,0,partygoers drunkenly recite 4-h pledge,2960
8923,2,hbo announces 'game of thrones' not coming back this weekend,5489
9769,1,man wearing low-cut swimsuit as though public pool a sun-kissed sardinian cove,11856
12385,1,zagat editor a 'nice guy' but 'kind of boring',12873
7217,0,astronomers discover extremely graphic galaxy,4533
6738,1,teen anxious for cigarette addiction to kick in,4245
1501,1,friend attempting to provide comfort has no clue what the fuck she's talking about,1405
9545,2,jon hamm to overenthusiastic fan: 'you're ruining me for everyone',5838
3753,1,dad way scarier when controlling temper,2625
521,2,bob dole makes car and driver 10 best list,8317
5408,0,rotating knife vortex closed pending safety investigation,10199
6815,2,report: still hasn't been long enough to open restaurant called bin laden's,4296
7198,2,carlos santana surprises wife with coupon for free 45-minute guitar solo,10891
4694,1,if area dad steps on legos one more time,3148
12813,2,clinton fumbles with submarine controls; 'everything's in german!' he shouts,7666
4185,0,chimp study on human-evasion response to feces-hurling nearly complete,2873
11575,2,5 states to decide whether to legalize marijuana or continue honoring god,12563
3032,0,new titanic film told from iceberg's point of view,9293
12357,0,smart aleck ruins academy awards,12860
8912,1,apparently man can't just hate bowling,5483
11295,0,outline of inhaler clearly visible in comic-con attendee's lycra bodysuit,6791
11262,0,johnson & johnson introduces self-lotioning baby,76
9836,2,bush diagnosed with attention-to-deficit disorder,6005
114,1,strapping young man to address congress,8165
13282,1,vacationer checks weather report for hometown,7918
3071,1,local man's body a really big temple,2260
2196,1,woman mentally rifles through friends for perfect person to sympathize with current pettiness,1775
3813,1,fifth-grader writes 'mrs. alan greenspan' all over her notebook,9589
10933,1,weekend encounter with coworker never acknowledged,93
3019,1,"15,000 years of human artistic endeavor culminate in see spot run",9289
6295,0,"mega millions winner announces plans to lose touch with who they really are, become lost in soulless, gilded catacombs of sudden unearned wealth",4007
12513,1,none of area man's friends have ever seen him with shirt on,7496
4562,2,senator honored for work with overprivileged americans,9878
8074,1,magpie worried mate only interested in him for collection of shiny objects,11201
4761,1,man keeping running total of how many people in gym in worse shape than him,3181
7752,1,yoga teacher has way too much on plate to fuck any more students right now,4838
868,1,awkward encounter not awkward at all when masturbated about,1076
3226,2,alan keyes admits: 'i just enjoy campaigning',2338
11347,2,bush to lovely chilean ambassador:'i must paint you',6824
2396,0,"new, improved olean 30 percent less likely to make you shit in your pants",1885
5182,0,victor hugo's les lunchables to hit broadway,10101
472,2,everyone in town hall debate audience has spouse who lost health insurance and is dying of cancer,8298
2545,2,senate bully forces legislators to repeatedly pass 'we are huge homos' bill,9102
1313,1,family spends relaxing weekend destroying outdoors,8625
3973,0,$500 stereo installed in $400 car,2759
10339,0,comic book fans adamant that human torch be played by actor whose body actually engulfed in flames,6281
10636,2,bush proud u.s. economic woes can still depress world markets,6423
6346,2,alito keeps telling supreme court how they did things in circuit court,4030
5073,2,trump vows extensive search to find new dhs director with ideal personality disorders,3352
1552,1,industrial light & magic creates believable storyline,1437
1164,1,man avoids messing with texas,1233
11800,0,sniper draws moustache on crosshairs,7085
7984,1,coworker loudly typing away like 1930s cub reporter chasing hot lead,11166
1828,0,nicole richie's beautiful figure ruined by pregnancy,13369
9510,1,inhibitions found in seedy motel room,11758
3456,1,petulant 12-year-old refuses to brown the ground chuck,2465
7493,1,"sociologists confirm emergence of generation more entitled, self-absorbed than any seen before",10987
9267,0,richard simmons fighting for life in estrogen tent,5681
2298,1,fat couple's love like a fat flower,449
6894,1,area man good for the economy,4348
5580,1,area lady's gentleman caller under employ of jiffy lube,3621
3188,2,anderson cooper begins debate by giving trump opportunity to explain what the fuck is wrong with him,2317
2941,2,obama slips 'hope' into speech for the fans,2185
2401,2,trump: 'any shooting actually inspired by me would have left thousands dead',1890
1011,1,double-jointed man on date breaks it out too early,1155
8115,1,wife dropping hints she ready to have second husband,5046
11045,1,report: today the day woman either quits job or goes home and watches 4 hours of netflix,6641
8598,2,advisors hopeful jeb bush finally has momentum to end campaign,5318
2097,0,credit-card metallurgists unveil new 'polonium plus' visa card,1728
6893,1,"breaking: wait—sorry, false alarm",10774
4658,1,all-dad blues band a critical disappointment,9913
10624,2,clinton gets box to put government's stuff in,6417
4589,0,new neutrogena extra-strength face wash instantly dissolves bad skin,9889
5515,1,wealth-burdened nation grateful for opportunity to spend money at new onion store,10241
7916,2,clinton bleeds to death,4936
3542,2,bush seeking non-masturbating surgeon general,2503
2426,1,man stuck in no-man's land between two domino's delivery areas,9058
3452,1,nation sick of looming stuff,2463
7597,1,woman always gets best ideas while taking shower with two jacked dudes,4754
4132,2,bill clinton admits that knowing what he knows now he would have still preyed on women,2846
11703,1,asshole taking up two plots,12615
9273,2,israel vows to use veto power if chuck hagel confirmed as u.s. secretary of defense,5683
1887,1,area man has some pretty shitty mob ties,1612
7587,2,"'low-energy jeb,' whispers jeb bush sitting alone in dark watching televised trump speech",4747
2953,1,guy totally looked like chick from behind,2191
2098,1,pushy hermit crab girlfriend wants to move in,1729
11963,0,custom fireplace store totally jumps gentrification gun,12715
3548,2,verizon introduces new charge-you-at-whim plan,9500
1613,0,nuclear warhead thrilled for chance to finally escape north korea,8756
6930,0,each line of mastercard billing statement evokes infuriating vacation memory,13437
9215,2,mueller scrambling after accidentally spilling whole big gulp all over russia evidence,5654
12865,0,scientists close to developing life-saving vaccine that they can rub in faces of their doubters,7691
6393,1,area man a walking encyclopedia of everything except leading a normal life,4047
11006,0,kfc introduces new boneless ceo,6625
11344,2,department of homeland security not about to raise alert level for 14th anniversary of 9/11,12480
10143,1,"study: zero people have led satisfying lives after altering original career plans, aspirations",6179
9426,0,going-out-of-business sign thanks neighborhood for 3 months of no support whatsoever,11719
12427,1,man wondering when 'ocean's 8' trailer going to show film's protagonist,12891
10021,0,"new study finds therapy, antidepressants equally effective at monetizing depression",6105
3966,2,rudy giuliani suddenly realizes he's been grinning during entire 9/11 ceremony,2755
3513,1,night of watching game show network leaves man concerned about life insurance,2492
4680,0,survey: genital stimulation maintains popularity,3139
12270,0,report: 87% of u.s. women achieve orgasm when fantasizing about gorton's fisherman,7359
4647,0,three dozen confirmed *@@## in power plant *@@##,9910
7335,1,visiting parents do their best to praise son's new apartment,4606
4944,1,woman sensitive about that thing on her face,3272
9125,0,fema assures wildfire victims bucket brigade nearly over maryland state line,11614
7948,0,disney unveils first virgin princess,4953
4214,2,barbara bush calls white house to see if she can leave husband there for few hours,2889
352,1,group cheers after group hears group's name called,788
7586,2,target of future drone attack urges american intervention in syria,11027
12423,1,dome-home sales somehow manage to dip even lower,12890
6899,0,unconsciousness faked to make anesthesiologist feel better,4352
8120,0,eric clapton ossifies,5049
10267,1,masochistic toilet craving hot piss,6243
7543,0,skilled sotheby's auctioneer accidentally sells self at auction for $2.5 million,4722
10264,0,outbreak of va-va-vooms traced to miniskirt-wearing blonde,12053
3738,1,"youtuber cringing while watching amateurish early, current work",9564
9217,2,indianapolis sports reporter pours his little heart out in peyton manning retirement column,11648
2205,0,child therapist excited to actually be seeing patient with psychological issues,1780
12889,0,motion picture academy releases complete list of films that can be enjoyed without supporting sexual predator,13066
4354,1,"crazed, froth-mouthed mother demands grandchildren now",2959
10708,1,physics teacher's car accident would've made perfect example for class,6463
11917,2,ryan zinke comes out in support of controversial wildfire,7150
5262,2,alabama quietly strikes bo bice day from state calendar,349
3904,1,astronomers say wednesday night will be best chance for americans to view 'novλ',9616
3080,0,merle haggard haggard,9311
5070,1,slow-thinking bystander weighing pros and cons of pulling man out of river,3349
5959,2,pence relaxes onstage by imagining entire debate audience burning in hell,42
379,1,fucking idiot has perfect gif for that,801
5420,0,"stock analysts confused, frightened by boar market",3529
13332,1,owner by far creepiest man in bar,7945
704,0,bike helmet protects child from helmet-inspired beating,981
5265,2,halliburton employee's pay docked for weeks spent as hostage,3458
8531,2,nation kept up all night by sound of creaking infrastructure,11377
7313,1,man competitive about how depressed he is,4590
10455,0,ball park franks introduces new foot-wide hotdogs,6339
11133,1,time running out on second-keg fund drive,6693
3361,0,trees planted in poor neighborhood mature just in time for gentrification,9413
10970,1,office disgusted by two coworkers getting all chummy with each other,6607
11478,2,oprah winfrey breaks record for most appearances on the cover of 'o magazine',6903
5799,1,local pet store sells living things to just anyone off the street,10365
11612,0,hero publicist honored,12578
582,2,sessions vows to protect all deeply held religious bigotry,916
1895,1,"25-year-old moving into comfortable, rent-free arrangement in parents' home worried he's hit rock bottom",1616
7353,2,"mitt romney, paul ryan to awkwardly hug, high five for next three months",4617
9544,1,reports of movie being good reach area man,5837
2854,1,high school suspends hunky student for wearing shirt,2146
2305,0,archaeologists discover first hominid to own tools but never use them,1833
7960,0,sabra hummus: cedar's hummus lacks experience necessary to become america's no. 1 hummus,4963
9703,0,god decides against killing self after angel shows him what life would be like if he never existed,11831
9470,2,injured troops request extended tours to avoid being sent to walter reed,11745
11697,2,nation's younger cousins announce plans to cry at haunted houses this year,12611
9319,0,frustrated gunman can't believe how far he has to drive to find nearest planned parenthood clinic,11686
1812,1,chimp actor looking to direct,8827
4405,2,biden's buffalo wing challenge dinner not sitting too well,9812
343,1,man not even the hot kind,782
806,0,pope wins host-eating contest,8444
10620,2,investors remind mark zuckerberg he can't fuck with them like the simpering cowards in congress,6415
5484,0,u.s. public health service estimates they'll have tuskegee experiment wrapped up by 2020,13581
10407,0,mother still yammering away under her tombstone,12108
3325,1,office bad boy sees right through team-building exercise,2401
10582,1,man can name all parts of the vagina,6398
6671,0,area insurance salesman celebrates 14th year of quoting fletch,4205
2864,1,everyone at thanksgiving doing chore to get away from rest of family,2152
7394,1,cheerleader given a 'd',4640
4336,1,local man gets cocky with ladder,2947
1483,2,breakroom tension at all-time high following mug dispute,8700
13107,2,mark zuckerberg defends decision to fly confederate flag at facebook headquarters,7826
13447,2,postmaster general: 'letter carrier surge is working',8020
7570,2,mark zuckerberg admits he unsure why anyone still uses facebook,4738
10900,2,"'fourth quarter, time winding down, super bowl,' report nation's 11-year-olds",12321
8240,2,dianne feinstein horrified after new gun control bill disintegrates immediately upon crossing into senate chamber,5118
8339,0,man's heart stops as speaker asks audience to turn to person next to them,11301
4462,1,man to continue slowly drifting into middle of restaurant until host redirects him,3023
5436,0,pork chop trapped in airtight container,3541
4958,1,blind date pronounces every syllable of word 'comfortable',3279
12657,1,employee keeps up the good work,12977
12997,2,john edwards pays $30 to register edwards2016.com just in case,7759
13190,2,peter strzok summoned before congress again for texts calling trey gowdy 'a pissy little shithead',7862
4051,1,employee apparently confident enough in job performance to eat snacks during meeting,2804
2989,1,routine drunk-driving trip turns tragic for five local teens,2211
12358,2,'the onion' is canceling our 15-second web video featuring kevin spacey,7410
10998,0,"city to issue deep, meaningful municipal bonds",12350
5592,0,jesse helms treed by coon hounds,10272
4668,0,antidepressant medication label reminds users that pill should never be mixed with long look in mirror,3133
